19,9,4,0,20,3,4,9,117,8,4,5,21,2,4,7,74,7,4,5
85,7,4,0,42,4,4,9,60,4,4,5,106,9,4,0,3,14,4,5
122,1,4,0,97,16,5,9,60,4,4,5,64,0,4,0,74,7,4,5
15,0,4,0,115,0,4,9,110,4,4,5,21,2,4,0,74,7,4,5
120,8,4,0,109,4,4,9,91,0,4,5,106,9,4,0,86,14,4,5
55,7,4,0,35,3,4,9,110,4,4,9,19,9,4,0,27,14,4,5
91,2,4,0,109,4,4,9,117,8,4,5,106,9,4,0,74,7,4,5
17,13,4,0,35,3,4,9,133,2,4,5,106,9,4,0,49,7,4,5
28,13,4,0,54,4,4,9,124,8,4,7,26,11,4,0,27,14,4,5
31,13,4,0,132,9,4,9,117,8,4,5,64,0,4,7,75,7,4,5
15,8,4,0,25,4,4,9,131,8,4,0,106,9,4,0,74,7,4,5
83,13,4,0,109,4,4,9,64,0,4,5,137,8,4,0,105,7,4,5
110,4,4,0,57,0,4,9,60,4,4,5,95,9,4,0,27,14,4,5
83,13,4,0,115,0,4,9,60,4,4,5,133,2,4,0,86,14,4,5
31,13,4,0,78,4,4,9,139,4,4,5,47,0,4,0,71,8,4,5
28,2,4,0,78,4,4,9,117,8,4,5,95,9,4,0,105,7,4,7
120,8,4,0,78,4,4,9,133,2,4,5,47,3,4,7,138,15,4,5
19,2,4,0,109,4,4,9,133,2,4,5,130,0,4,7,74,7,4,0
19,2,4,0,15,0,4,9,133,2,4,5,74,8,4,0,3,14,4,5
58,0,4,0,79,1,4,9,95,9,4,0,106,9,4,0,27,14,4,5
58,0,4,0,19,9,4,9,82,7,4,8,127,5,4,0,131,8,4,5
15,2,4,0,56,9,4,9,16,9,4,5,64,0,4,0,3,14,4,5
91,0,4,0,57,0,4,9,109,7,4,8,106,9,4,0,27,14,4,5
106,9,4,0,56,9,4,9,5,8,4,0,127,4,4,0,62,14,4,5
39,2,4,0,79,1,4,9,68,7,4,0,106,9,4,0,88,7,4,5
19,2,4,0,15,0,4,9,95,9,4,0,59,16,4,0,3,14,4,5
127,4,4,0,57,0,4,9,39,2,4,5,133,2,4,0,88,7,4,5
100,7,4,0,86,4,4,9,133,2,4,5,106,9,4,0,3,14,4,5
19,2,4,0,86,4,4,9,136,4,4,5,133,2,4,0,3,14,4,5
19,2,4,0,109,4,4,9,139,4,4,5,47,3,4,0,34,14,4,5
15,0,4,0,61,4,4,9,133,2,4,8,64,0,4,7,34,14,4,5
94,8,4,0,79,1,4,9,42,4,4,5,106,9,4,0,27,14,4,5
85,7,4,0,109,4,4,9,91,2,4,5,26,11,4,7,27,14,4,1
22,13,4,9,79,1,4,9,52,4,4,5,127,4,4,0,138,15,4,1
19,2,4,0,86,4,4,9,39,2,4,5,74,7,4,0,3,14,4,5
69,13,4,0,109,4,4,9,110,4,4,5,26,11,4,0,27,8,4,5
22,13,4,0,132,9,4,9,39,2,4,5,106,9,4,0,3,14,4,5
31,13,4,0,92,3,4,9,107,8,4,8,106,9,4,0,3,14,4,5
28,13,4,0,132,0,4,9,139,4,4,5,64,0,4,0,74,7,4,5
98,13,4,0,92,4,4,9,133,2,4,5,74,7,4,0,13,15,4,5
83,13,4,0,78,4,4,9,133,2,4,5,64,0,4,0,62,14,4,5
98,13,4,0,61,4,4,9,37,7,4,0,47,3,4,0,109,7,4,5
39,2,4,0,132,9,4,9,133,2,4,8,127,4,4,0,3,14,4,5
94,7,4,0,35,3,4,9,139,4,4,5,64,0,4,0,108,10,4,5
109,7,4,0,86,4,4,9,16,9,4,7,64,0,4,0,13,15,4,5
58,2,4,0,78,4,4,9,139,7,4,5,64,0,4,0,113,14,4,5
106,9,4,0,79,1,4,9,60,4,4,5,26,11,4,0,86,14,4,5
19,2,4,0,78,4,4,9,87,4,4,5,26,11,4,0,27,14,4,5
28,11,4,0,35,3,4,9,95,9,4,0,26,11,4,0,49,7,4,5
22,13,4,0,132,9,4,9,139,7,4,5,26,11,4,0,88,7,4,5
106,9,4,0,96,3,4,9,127,5,4,0,47,3,4,0,92,3,4,5
31,11,4,0,115,0,4,9,106,9,4,8,47,0,4,0,41,7,4,7
53,1,4,0,79,1,4,9,139,4,4,5,26,11,4,0,49,7,4,5
51,7,4,0,97,16,5,9,60,4,4,5,106,9,4,0,13,15,4,5
0,2,4,0,15,0,4,9,117,8,4,5,106,9,4,0,138,15,4,1
34,8,4,0,57,0,4,9,60,4,4,5,130,0,4,7,88,7,4,5
79,1,4,0,35,3,4,9,16,9,4,2,64,0,4,0,88,7,4,5
0,8,4,0,24,4,4,9,18,3,4,0,64,0,4,0,27,14,4,5
127,9,4,0,109,4,4,9,133,2,4,5,45,3,4,7,3,14,4,5
98,13,4,0,61,4,4,9,82,7,4,8,130,3,4,0,27,14,4,5
34,13,4,0,115,0,4,9,51,8,4,0,47,0,4,0,74,7,4,5
94,8,4,0,24,4,4,9,133,2,4,5,64,0,4,7,86,14,4,5
91,2,4,0,109,4,4,9,133,2,4,5,127,4,4,0,41,7,4,5
91,2,4,0,99,0,4,9,52,4,4,5,121,1,4,0,41,7,4,5
39,2,4,0,0,5,4,9,51,8,4,0,74,7,4,0,88,7,4,5
0,8,4,0,15,0,4,9,139,4,4,5,106,9,4,0,105,7,4,2
85,7,4,0,42,4,4,9,63,7,4,0,106,9,4,0,86,14,4,5
120,8,4,0,35,3,4,9,5,8,4,0,34,14,4,5,74,8,4,1
0,13,4,0,57,0,4,9,83,13,4,0,106,9,4,0,74,7,4,5
44,4,4,0,56,9,4,9,16,9,4,8,21,2,4,7,88,7,4,5
83,13,4,0,81,10,6,9,0,4,4,5,64,0,4,0,108,10,4,5
116,2,4,5,34,4,4,9,133,2,4,5,64,0,4,0,13,15,4,5
93,2,4,0,57,0,4,9,131,8,4,8,7,1,4,0,138,7,4,5
69,14,4,0,97,16,5,9,63,7,4,0,26,11,4,0,49,7,4,5
95,9,4,0,42,4,4,9,138,7,4,0,130,1,4,0,88,10,4,5
