TOPchampId,TOPkeyRune,TOPspell1,TOPspell2,JNGchampId,JNGkeyRune,JNGspell1,JNGspell2,MIDchampId,MIDkeyRune,MIDspell1,MIDspell2,ADCchampId,ADCkeyRune,ADCspell1,ADCspell2,SUPchampId,SUPkeyRune,SUPspell1,SUPspell2
32,13,4,5,56,4,4,9,51,4,4,0,64,0,4,7,74,7,4,5
72,4,4,0,34,14,4,9,133,2,4,5,137,8,4,0,123,8,4,5
0,13,4,5,97,6,5,9,82,7,4,8,64,0,4,7,104,7,4,1
31,13,4,0,25,6,4,9,52,4,4,5,26,11,4,0,13,15,4,5
43,2,4,0,56,4,4,9,65,7,4,5,47,0,4,7,55,7,4,5
91,2,4,5,56,4,4,9,52,4,4,5,7,1,4,7,140,8,4,5
112,13,4,0,81,5,6,9,20,4,4,5,26,11,4,7,12,7,4,5
15,0,4,0,132,9,4,9,82,7,4,5,130,1,4,7,11,14,4,5
133,2,4,5,54,4,4,9,60,4,4,5,71,2,4,7,41,7,4,5
43,2,4,0,135,14,4,9,95,9,4,0,45,3,4,7,34,14,4,5
85,13,4,0,61,4,4,9,39,2,4,5,71,6,4,7,74,7,4,5
116,2,4,0,97,16,5,9,20,4,4,5,139,7,4,7,37,4,4,5
39,2,4,0,129,0,4,9,65,7,4,1,47,3,4,7,113,14,4,5
116,2,4,0,115,0,4,9,109,4,4,5,44,7,4,0,88,7,4,5
28,2,4,0,72,4,4,9,131,8,4,0,7,1,4,0,27,14,4,5
53,3,4,0,54,4,4,9,66,4,4,2,26,11,4,8,65,7,4,1
43,2,4,0,57,0,4,9,8,9,4,5,100,7,4,0,74,7,4,5
43,2,4,0,15,0,4,9,29,9,4,0,64,0,4,7,88,7,4,5
0,2,4,0,132,9,4,9,110,4,4,5,26,11,4,0,27,7,4,5
76,13,4,0,61,4,4,9,52,4,4,5,7,1,4,0,75,7,4,1
112,7,4,5,15,0,4,9,110,4,4,5,47,3,4,7,115,0,4,1
133,2,4,0,43,2,4,9,60,4,4,5,26,11,4,7,27,14,4,5
93,2,4,0,27,8,4,9,60,4,4,5,66,7,4,7,52,4,4,5
98,13,4,0,118,0,4,9,8,9,4,5,26,11,4,0,138,7,4,5
20,4,4,0,36,5,6,9,63,4,4,5,6,4,4,7,12,8,4,5
19,2,4,5,36,5,6,9,20,4,4,5,114,0,4,7,49,7,4,5
87,4,4,5,133,2,4,9,2,4,4,5,21,2,4,7,75,7,4,5
84,14,4,5,80,15,4,9,52,4,4,5,71,4,4,7,140,7,4,5
93,2,4,0,58,0,4,9,139,7,4,5,45,7,4,7,3,14,4,5
116,2,4,5,61,4,4,9,127,5,4,5,52,4,4,5,88,7,4,1
2,6,4,0,35,3,4,9,20,4,4,0,64,0,4,7,74,7,4,5
43,2,4,0,54,5,4,5,52,4,4,5,92,0,4,1,12,8,4,5
58,2,4,0,84,4,4,9,39,2,4,5,26,11,4,0,27,8,4,5
134,13,4,0,56,4,4,9,127,8,4,5,64,0,4,7,86,14,4,5
120,14,4,0,22,3,4,9,79,4,4,5,64,0,4,7,13,15,4,1
98,13,4,0,125,4,4,9,124,8,4,5,47,0,4,7,12,8,4,1
133,2,4,0,15,0,4,9,23,4,4,5,21,2,4,0,3,14,4,5
54,13,4,0,57,0,4,9,60,4,4,5,45,1,4,7,11,14,4,5
19,2,4,6,54,4,4,9,137,8,4,2,102,6,4,7,66,7,4,5
100,7,4,0,15,0,4,9,20,4,4,0,45,16,4,7,108,15,4,5
129,2,4,5,61,4,4,9,66,8,4,2,47,3,4,0,75,7,4,5
87,4,4,5,79,1,4,9,5,4,4,0,14,0,4,7,65,7,4,5
15,0,4,0,135,14,4,9,5,8,4,0,14,3,4,7,75,7,4,5
19,2,4,5,129,0,4,9,68,7,4,0,71,3,4,1,41,7,4,5
31,13,4,0,4,14,4,9,1,8,4,5,64,0,4,7,75,7,4,1
134,13,4,0,132,0,4,9,123,8,4,2,64,0,4,7,75,7,4,5
17,13,4,0,116,2,4,9,60,4,4,5,71,6,4,7,27,7,4,5
134,13,4,0,70,2,4,9,136,6,4,5,26,11,4,0,65,7,4,5
67,13,4,0,119,0,4,9,29,4,4,5,71,8,4,7,12,8,4,5
22,13,4,0,57,1,4,9,68,7,4,5,47,3,4,0,12,8,4,5
17,13,4,0,70,2,4,9,136,4,4,5,114,3,4,7,13,15,4,5
85,7,4,0,92,3,4,9,139,7,4,5,47,3,4,0,11,14,4,5
19,2,4,5,132,9,4,9,72,4,4,5,118,0,4,7,65,7,4,5
134,2,4,0,54,4,4,9,110,4,4,5,26,11,4,0,27,8,4,5
19,2,4,0,36,5,6,9,124,8,4,8,7,1,4,7,75,7,4,5
19,2,4,5,81,5,6,9,63,8,4,0,14,3,4,7,123,4,4,2
58,2,4,0,125,4,4,9,1,4,4,5,45,3,4,7,65,7,4,5
136,4,4,5,72,4,4,9,94,8,4,0,48,0,4,7,113,14,4,5
116,2,4,5,35,3,4,9,1,4,4,5,21,2,4,7,53,7,4,1
55,4,4,0,103,5,4,9,60,4,4,5,122,3,4,7,86,14,4,5
22,13,0,6,61,4,4,9,50,5,4,0,21,2,4,7,27,7,4,5
133,2,4,0,57,0,4,9,126,4,4,5,118,0,4,7,138,7,4,5
19,13,4,0,84,4,4,9,109,7,4,5,64,0,4,7,75,7,4,5
86,4,4,0,61,4,4,9,12,8,4,6,47,3,4,7,74,10,4,5
42,4,4,0,132,9,4,9,139,7,4,5,47,0,4,7,88,7,4,5
43,2,4,0,79,1,4,9,131,8,4,2,7,1,4,7,27,7,4,5
28,2,4,0,34,4,4,9,136,4,4,5,7,1,4,7,27,8,4,5
19,2,4,5,35,4,4,9,95,9,4,6,47,3,4,0,75,7,4,5
136,4,4,5,42,6,4,9,1,4,4,5,64,0,4,0,88,13,4,0
0,8,4,5,54,4,4,9,23,4,4,5,47,0,4,7,62,14,4,5
19,2,4,0,15,0,4,9,136,4,4,5,47,0,4,7,41,7,4,5
67,13,4,0,56,4,4,9,65,7,4,5,133,2,4,5,82,7,4,7
93,2,4,0,42,4,4,9,26,4,4,0,106,9,4,0,71,7,4,5
38,10,4,0,97,6,4,9,133,2,4,5,7,0,4,7,12,8,4,5
31,13,4,0,72,4,4,9,5,8,4,5,46,3,4,7,11,12,4,5
76,13,4,0,79,4,4,9,23,13,4,5,46,1,4,7,75,7,4,5
115,0,4,0,72,6,4,9,136,4,4,5,64,0,4,7,74,7,4,5
93,2,4,0,15,0,4,9,6,4,4,5,64,0,4,7,86,4,4,5
116,2,4,0,90,0,4,9,66,4,4,2,7,3,4,7,111,15,4,5
0,13,4,0,35,4,4,9,126,7,4,5,26,11,4,7,104,7,4,5
116,2,4,5,25,6,4,9,106,4,4,5,118,0,4,7,41,7,4,5
133,2,4,0,132,0,4,9,138,8,4,0,18,3,4,7,11,14,4,5
33,0,4,0,34,4,4,9,133,2,4,5,47,3,4,7,140,8,4,5
120,8,4,5,89,14,4,9,2,4,4,5,14,0,4,2,6,4,4,5
120,8,4,5,79,1,4,9,12,4,4,5,118,1,4,7,65,7,4,5
39,2,4,0,118,0,4,9,138,7,4,0,47,3,4,7,62,14,4,5
16,9,4,0,57,0,4,9,51,4,4,5,120,8,4,0,3,14,4,5
133,2,4,5,15,0,4,9,116,2,4,5,107,8,4,7,65,7,4,1
28,2,4,0,72,4,4,0,52,4,4,5,47,3,4,7,140,7,4,5
28,2,4,0,79,4,4,9,20,4,4,5,47,3,4,7,74,7,4,5
85,13,4,0,118,16,4,9,20,4,4,5,117,16,4,7,75,7,4,5
19,2,4,0,34,13,4,9,47,3,4,0,7,0,4,7,75,7,4,5
91,2,4,0,97,6,5,9,106,8,4,0,47,3,4,0,75,7,4,5
101,7,4,5,125,4,4,9,127,8,4,2,71,8,4,7,66,4,4,5
15,0,4,0,70,1,5,9,68,7,4,0,47,3,4,7,62,15,4,5
116,2,4,5,72,4,4,9,51,8,4,5,46,3,4,7,86,4,4,5
67,13,4,0,129,0,4,9,29,4,4,5,71,2,4,0,41,7,4,1
28,13,4,0,132,9,4,9,66,8,4,2,45,3,4,0,75,7,4,5
116,2,4,0,97,4,5,9,60,4,4,5,47,0,4,7,65,7,4,5
32,13,4,0,61,4,4,9,66,8,4,2,47,0,4,7,10,7,4,5
31,13,4,0,25,4,4,9,133,2,4,1,64,0,4,7,13,15,4,1
53,0,4,0,92,4,4,9,50,7,4,0,137,8,4,0,34,14,4,5
19,9,4,5,135,14,4,9,60,4,4,5,64,0,4,7,27,14,4,5
19,9,4,0,135,14,4,9,117,8,4,6,45,3,4,7,12,8,4,5
112,7,4,0,36,5,6,9,131,8,4,7,64,0,4,7,75,7,4,5
112,13,4,5,24,4,4,9,68,7,4,0,64,0,4,7,13,15,4,5
116,2,4,5,43,0,4,9,95,9,4,0,72,4,4,0,86,4,4,5
98,13,4,0,27,8,4,9,79,4,4,5,26,11,4,7,49,7,4,5
15,8,4,0,92,3,4,9,123,8,4,0,106,9,4,7,74,7,4,5
